region,year,ppt
PP,1150,329.1714015
PP,1151,446.2419508
PP,1152,507.046875
PP,1153,482.8191288
PP,1154,311.2571023
PP,1155,587.7372159
PP,1156,294.6074811
PP,1157,465.5397727
PP,1158,347.5052083
PP,1159,536.9479167
PP,1160,519.4611742
PP,1161,417.4266098
PP,1162,526.4441288
PP,1163,615.407197
PP,1164,495.4076705
PP,1165,504.266572
PP,1166,344.0288826
PP,1167,491.5563447
PP,1168,387.1979167
PP,1169,342.1022727
PP,1170,505.1510417
PP,1171,640.2395833
PP,1172,358.9881629
PP,1173,552.1354167
PP,1174,341.9455492
PP,1175,396.6188447
PP,1176,466.7675189
PP,1177,346.9616477
PP,1178,559.6325758
PP,1179,405.3044508
PP,1180,485.2064394
PP,1181,375.7035985
PP,1182,325.4839015
PP,1183,429.9630682
PP,1184,482.2689394
PP,1185,418.0388258
PP,1186,267.4019886
PP,1187,423.7054924
PP,1188,397.6482008
PP,1189,399.4441288
PP,1190,482.4483902
PP,1191,601.9341856
PP,1192,538.9640152
PP,1193,436.3858902
PP,1194,493.8948864
PP,1195,506.2215909
PP,1196,478.436553
PP,1197,540.3797348
PP,1198,534.8257576
PP,1199,413.7007576
PP,1200,511.5539773
PP,1201,569.9214015
PP,1202,488.4559659
PP,1203,492.2750947
PP,1204,366.9327652
PP,1205,453.0828598
PP,1206,366.327178
PP,1207,468.516572
PP,1208,402.5123106
PP,1209,551.4616477
PP,1210,598.7249053
PP,1211,561.4682765
PP,1212,491.4649621
PP,1213,518.8844697
PP,1214,423.3186553
PP,1215,333.4195076
PP,1216,435.6586174
PP,1217,292.2556818
PP,1218,328.9081439
PP,1219,534.8328598
PP,1220,438.1704545
PP,1221,375.1893939
PP,1222,504.8697917
PP,1223,477.6202652
PP,1224,372.0331439
PP,1225,358.2949811
PP,1226,405.2717803
PP,1227,294.1197917
PP,1228,552.8409091
PP,1229,422.0288826
PP,1230,520.0080492
PP,1231,497.6979167
PP,1232,423.8300189
PP,1233,383.8982008
PP,1234,340.7755682
PP,1235,414.7575758
PP,1236,304.3248106
PP,1237,475.2504735
PP,1238,524.9820076
PP,1239,437.1164773
PP,1240,349.0033144
PP,1241,507.9450758
PP,1242,481.5662879
PP,1243,464.1538826
PP,1244,505.4024621
PP,1245,356.1226326
PP,1246,379.8982008
PP,1247,372.8806818
PP,1248,408.2589962
PP,1249,536.2826705
PP,1250,367.2850379
PP,1251,254.4204545
PP,1252,344.0236742
PP,1253,442.6931818
PP,1254,235.3044508
PP,1255,419.686553
PP,1256,449.4446023
PP,1257,455.6624053
PP,1258,300.2850379
PP,1259,516.9389205
PP,1260,514.7850379
PP,1261,418.4535985
PP,1262,512.9928977
PP,1263,516.0004735
PP,1264,453.0643939
PP,1265,582.6567235
PP,1266,417.8072917
PP,1267,533.3068182
PP,1268,630.9957386
PP,1269,603.1789773
PP,1270,455.5127841
PP,1271,535.2215909
PP,1272,548.7400568
PP,1273,359.5511364
PP,1274,376.5047348
PP,1275,604.9247159
PP,1276,294.9133523
PP,1277,435.3053977
PP,1278,332.7017045
PP,1279,324.7528409
PP,1280,308.7736742
PP,1281,346.592803
PP,1282,380.5558712
PP,1283,299.6358902
PP,1284,399.9981061
PP,1285,321.9767992
PP,1286,305.5956439
PP,1287,403.9498106
PP,1288,407.8413826
PP,1289,461.8205492
PP,1290,589.6666667
PP,1291,375.6178977
PP,1292,418.8323864
PP,1293,449.4176136
PP,1294,403.8404356
PP,1295,337.3901515
PP,1296,503.3091856
PP,1297,382.0293561
PP,1298,622.7012311
PP,1299,399.3645833
PP,1300,534.0975379
PP,1301,572.4502841
PP,1302,525.0738636
PP,1303,464.9266098
PP,1304,446.8352273
PP,1305,596.344697
PP,1306,537.7675189
PP,1307,436.170928
PP,1308,427.5435606
PP,1309,589.9564394
PP,1310,660.8650568
PP,1311,549.6567235
PP,1312,434.0307765
PP,1313,650.9199811
PP,1314,538.8101326
PP,1315,410.2859848
PP,1316,236.3267045
PP,1317,501.0359848
PP,1318,466.1003788
PP,1319,551.0913826
PP,1320,611.391572
PP,1321,558.0056818
PP,1322,466.09375
PP,1323,437.5094697
PP,1324,485.7447917
PP,1325,683.4147727
PP,1326,585.9190341
PP,1327,581.4663826
PP,1328,390.6467803
PP,1329,409.7140152
PP,1330,506.3570076
PP,1331,502.3797348
PP,1332,621.1330492
PP,1333,615.188447
PP,1334,546.6363636
PP,1335,407.375
PP,1336,489.4862689
PP,1337,647.3849432
PP,1338,309.8375947
PP,1339,407.7859848
PP,1340,479.9753788
PP,1341,440.1169508
PP,1342,344.2736742
PP,1343,406.4460227
PP,1344,425.3082386
PP,1345,437.9512311
PP,1346,474.7518939
PP,1347,391.3830492
PP,1348,439.3986742
PP,1349,416.0558712
PP,1350,278.7907197
PP,1351,486.1453598
PP,1352,314.0681818
PP,1353,603.032197
PP,1354,522.6794508
PP,1355,403.8854167
PP,1356,500.3802083
PP,1357,453.8025568
PP,1358,579.8072917
PP,1359,501.2594697
PP,1360,332.6074811
PP,1361,491.6444129
PP,1362,439.9573864
PP,1363,367.0137311
PP,1364,362.9128788
PP,1365,516.3323864
PP,1366,480.7035985
PP,1367,412.4919508
PP,1368,632.3257576
PP,1369,354.2684659
PP,1370,534.9076705
PP,1371,521.7750947
PP,1372,630.4607008
PP,1373,449.0184659
PP,1374,581.5175189
PP,1375,297.3357008
PP,1376,295.7059659
PP,1377,500.2305871
PP,1378,525.4464962
PP,1379,474.2708333
PP,1380,592.28125
PP,1381,499.2078598
PP,1382,420.6169508
PP,1383,525.5416667
PP,1384,354.0591856
PP,1385,582.0260417
PP,1386,457.2447917
PP,1387,438.795928
PP,1388,408.9142992
PP,1389,382.8309659
PP,1390,258.3058712
PP,1391,365.6766098
PP,1392,430.5724432
PP,1393,367.1661932
PP,1394,502.8697917
PP,1395,445.563447
PP,1396,413.9067235
PP,1397,305.7552083
PP,1398,420.7892992
PP,1399,248.829072
PP,1400,414.6761364
