region,year,ppt
TB,725,366.5677674
TB,726,310.1409561
TB,727,410.5579103
TB,728,498.4889108
TB,729,384.8506654
TB,730,579.5667817
TB,731,437.5357319
TB,732,482.7092164
TB,733,534.7437161
TB,734,321.1867915
TB,735,284.5465747
TB,736,277.7447018
TB,737,398.2331198
TB,738,143.2602267
TB,739,293.3341548
TB,740,343.5810744
TB,741,249.6471168
TB,742,146.3928043
TB,743,258.3380976
TB,744,270.9103006
TB,745,312.0556925
TB,746,294.3730902
TB,747,297.353376
TB,748,191.8008871
TB,749,337.8457368
TB,750,295.7013307
TB,751,261.2873337
TB,752,425.976343
TB,753,388.9955643
TB,754,366.939379
TB,755,418.1276491
TB,756,311.4977822
TB,757,324.0078857
TB,758,383.1069492
TB,759,319.6352883
TB,760,209.7151306
TB,761,446.8225727
TB,762,444.4785609
TB,763,445.2774766
TB,764,336.3208477
TB,765,401.5998029
TB,766,436.5722031
TB,767,346.9078364
TB,768,543.8521439
TB,769,314.4672252
TB,770,314.6895022
TB,771,396.5544603
TB,772,529.7047807
TB,773,378.3075407
TB,774,223.3119763
TB,775,274.9265648
TB,776,419.4396254
TB,777,420.8541153
TB,778,355.693445
TB,779,271.114342
TB,780,433.0197141
TB,781,406.6288812
TB,782,236.6224741
TB,783,382.5608674
TB,784,459.0660424
TB,785,380.5983243
TB,786,323.7767373
TB,787,459.8265155
TB,788,381.5071464
TB,789,390.3341548
TB,790,367.7116806
TB,791,370.6747166
TB,792,463.7397733
TB,793,385.6170527
TB,794,419.6628881
TB,795,335.0152785
TB,796,348.6540168
TB,797,302.7821587
TB,798,441.2321341
TB,799,437.9048793
TB,800,448.2942336
TB,801,475.2262198
TB,802,479.8723509
TB,803,396.7614588
TB,804,612.1567275
TB,805,386.4263184
TB,806,428.4736323
TB,807,330.0241498
TB,808,383.3085264
TB,809,152.963036
TB,810,399.5214391
TB,811,314.8107442
TB,812,391.7634303
TB,813,397.6259241
TB,814,264.6584524
TB,815,371.4642681
TB,816,307.7067521
TB,817,300.976343
TB,818,218.4894036
TB,819,272.7658945
TB,820,412.7363233
TB,821,549.4618038
TB,822,419.6579596
TB,823,247.5569246
TB,824,289.5298176
TB,825,320.0675209
TB,826,394.5303105
TB,827,447.6619024
TB,828,408.4036471
TB,829,224.4696895
TB,830,418.4425826
TB,831,462.3499261
TB,832,405.1779202
TB,833,356.1108921
TB,834,419.6880237
TB,835,394.7698374
TB,836,368.013307
TB,837,239.0689995
TB,838,398.6959093
TB,839,405.7466732
TB,840,284.3326762
TB,841,446.2784623
TB,842,416.7057664
TB,843,504.9379004
TB,844,320.0044357
TB,845,515.8161656
TB,846,259.8482011
TB,847,282.7737802
TB,848,426.0192213
TB,849,316.9034007
TB,850,310.2612124
TB,851,366.3755545
TB,852,419.8314441
TB,853,313.0892065
TB,854,437.4598324
TB,855,382.1705274
TB,856,369.6865451
TB,857,313.5638245
TB,858,482.9985214
TB,859,367.3622474
TB,860,424.2528339
TB,861,388.9438147
TB,862,403.6623953
TB,863,378.478068
TB,864,421.2681124
TB,865,371.296205
TB,866,435.555446
TB,867,297.8309512
TB,868,341.2262198
TB,869,404.5574174
TB,870,275.3139478
TB,871,391.0734352
TB,872,329.498275
TB,873,359.060621
TB,874,355.2321341
TB,875,311.1113849
TB,876,539.3489404
TB,877,360.8836865
TB,878,295.3775259
TB,879,252.8141942
TB,880,402.3449975
TB,881,366.4016757
TB,882,349.4297684
TB,883,333.3282405
TB,884,255.4149828
TB,885,301.1281419
TB,886,358.0162642
TB,887,376.8171513
TB,888,332.4903894
TB,889,368.6352883
TB,890,491.3553475
TB,891,315.838344
TB,892,323.4711681
TB,893,470.9926072
TB,894,317.8373583
TB,895,309.5741745
TB,896,382.3173977
TB,897,360.0039428
TB,898,404.5396747
TB,899,488.976343
TB,900,328.3035978
TB,901,253.979793
TB,902,417.1232134
TB,903,315.0295712
TB,904,368.4277969
TB,905,427.7215377
TB,906,253.9753573
TB,907,247.134549
TB,908,409.4337112
TB,909,310.6781666
TB,910,256.6771809
TB,911,319.6042385
TB,912,291.2365697
TB,913,404.1148349
TB,914,302.6145885
TB,915,303.8304584
TB,916,331.0428783
TB,917,420.114342
TB,918,403.0754066
TB,919,465.4662395
TB,920,358.4687038
TB,921,385.0611138
TB,922,231.3242977
TB,923,211.5224248
TB,924,277.0044357
TB,925,391.383933
TB,926,364.2326269
TB,927,336.5179892
TB,928,439.5367176
TB,929,458.6545096
TB,930,282.316412
TB,931,355.5973386
TB,932,422.3923115
TB,933,386.4504682
TB,934,296.2893051
TB,935,278.3592903
TB,936,314.9950715
TB,937,236.3395761
TB,938,411.5953672
TB,939,282.6579596
TB,940,365.8708724
TB,941,361.2291769
TB,942,386.413997
TB,943,365.555446
TB,944,410.8841794
TB,945,388.6964022
TB,946,447.5751602
TB,947,419.8077871
TB,948,364.7683588
TB,949,462.8521439
TB,950,332.4189256
TB,951,226.4415968
TB,952,347.4583539
TB,953,324.8664367
TB,954,216.2695909
TB,955,379.7673731
TB,956,331.4672252
TB,957,341.9975357
TB,958,313.8462297
TB,959,391.0266141
TB,960,516.4805323
TB,961,406.9270577
TB,962,545.79793
TB,963,445.0965993
TB,964,399.8097585
TB,965,291.3987186
