region,year,ppt
UM,1000,327.7176015
UM,1001,202.967118
UM,1002,287.0154739
UM,1003,330.9574468
UM,1004,265.8094778
UM,1005,109.8394584
UM,1006,363.8065764
UM,1007,358.7920696
UM,1008,226.3017408
UM,1009,288.3704062
UM,1010,299.5203095
UM,1011,292.0299807
UM,1012,298.4845261
UM,1013,289.0918762
UM,1014,263.1982592
UM,1015,365.0599613
UM,1016,423.9651838
UM,1017,413.9294004
UM,1018,388.9816248
UM,1019,337.7117988
UM,1020,452.5009671
UM,1021,334.3694391
UM,1022,292.9158607
UM,1023,352.3984526
UM,1024,389.1847195
UM,1025,290.3800774
UM,1026,331.9709865
UM,1027,333.7011605
UM,1028,368.2205029
UM,1029,343.1847195
UM,1030,280.9526112
UM,1031,197.8056093
UM,1032,291.2736944
UM,1033,289.3665377
UM,1034,325.1866538
UM,1035,159.4139265
UM,1036,203.9613153
UM,1037,264.0909091
UM,1038,225.0870406
UM,1039,261.7359768
UM,1040,317.1054159
UM,1041,277.2765957
UM,1042,349.9758221
UM,1043,161.77853
UM,1044,256.6673114
UM,1045,298.6218569
UM,1046,202.3926499
UM,1047,323.4303675
UM,1048,227.3413926
UM,1049,293.9874275
UM,1050,351.3887814
UM,1051,372.6257253
UM,1052,488.4352031
UM,1053,428.2475822
UM,1054,433.6034816
UM,1055,392.4410058
UM,1056,361.0203095
UM,1057,304.5290135
UM,1058,389.4632495
UM,1059,345.9700193
UM,1060,419.2330754
UM,1061,453.2649903
UM,1062,384.0541586
UM,1063,424.6121857
UM,1064,407.6257253
UM,1065,516.0599613
UM,1066,397.0077369
UM,1067,175.311412
UM,1068,176.1866538
UM,1069,329.1460348
UM,1070,294.2765957
UM,1071,361.950677
UM,1072,362.565764
UM,1073,310.6547389
UM,1074,308.6102515
UM,1075,295.3558994
UM,1076,417.8926499
UM,1077,365.4806576
UM,1078,404.6141199
UM,1079,475.7988395
UM,1080,395.1702128
UM,1081,433.5087041
UM,1082,487.1131528
UM,1083,341.7698259
UM,1084,341.0135397
UM,1085,263.9274662
UM,1086,330.8326886
UM,1087,336.4390716
UM,1088,356.6866538
UM,1089,305.0116054
UM,1090,212.3868472
UM,1091,167.1847195
UM,1092,286.0967118
UM,1093,285.3733075
UM,1094,127.9748549
UM,1095,306.6382979
UM,1096,332.1247582
UM,1097,319.3191489
UM,1098,191.7147002
UM,1099,205.3056093
UM,1100,273.5096712
UM,1101,385.1711799
UM,1102,366.8162476
UM,1103,297.2011605
UM,1104,329.7117988
UM,1105,340.4129594
UM,1106,210.5222437
UM,1107,284.6092843
UM,1108,265.6324952
UM,1109,312.7591876
UM,1110,316.5222437
UM,1111,216.8520309
UM,1112,333.4197292
UM,1113,272.5435203
UM,1114,352.7959381
UM,1115,414.040619
UM,1116,402.3558994
UM,1117,447.303675
UM,1118,310.0145068
UM,1119,308.5096712
UM,1120,366.3742747
UM,1121,247.2243714
UM,1122,444.1266925
UM,1123,359.6876209
UM,1124,393.5261122
UM,1125,333.1808511
UM,1126,217.705029
UM,1127,307.0531915
UM,1128,382.5667311
UM,1129,406.910058
UM,1130,301.9961315
UM,1131,433.4090909
UM,1132,188.762089
UM,1133,196.4632495
UM,1134,264.5705996
UM,1135,272.0203095
UM,1136,269.8665377
UM,1137,267.2891683
UM,1138,187.8481625
UM,1139,232.3926499
UM,1140,215.089942
UM,1141,383.049323
UM,1142,276.0464217
UM,1143,273.3994197
UM,1144,270.3500967
UM,1145,372.6131528
UM,1146,158.8500967
UM,1147,261.0967118
UM,1148,260.4661509
UM,1149,289.0183752
UM,1150,171.7147002
UM,1151,256.377176
UM,1152,321.3046422
UM,1153,294.72147
UM,1154,160.1247582
UM,1155,386.9003868
UM,1156,158.237911
UM,1157,298.6615087
UM,1158,209.7340426
UM,1159,376.4874275
UM,1160,353.5618956
UM,1161,261.1827853
UM,1162,316.9584139
UM,1163,446.6092843
UM,1164,327.7205029
UM,1165,368.6092843
UM,1166,231.7775629
UM,1167,360.237911
UM,1168,298.6411992
UM,1169,272.303675
UM,1170,342.2001934
UM,1171,459.9825919
UM,1172,268.5009671
UM,1173,405.9303675
UM,1174,260.3907157
UM,1175,284.139265
UM,1176,348.589942
UM,1177,272.4235977
UM,1178,421.8394584
UM,1179,305.6750484
UM,1180,346.9603482
UM,1181,285.4071567
UM,1182,231.6982592
UM,1183,335.7030948
UM,1184,394.7591876
UM,1185,293.6334623
UM,1186,197.4206963
UM,1187,317.6731141
UM,1188,295.5860735
UM,1189,267.3549323
UM,1190,345.1257253
UM,1191,421.3781431
UM,1192,368.7659574
UM,1193,302.5889749
UM,1194,337.9516441
UM,1195,358.0647969
UM,1196,298.77853
UM,1197,401.0667311
UM,1198,372.0125725
UM,1199,267.0203095
UM,1200,305.8152805
UM,1201,356.9255319
UM,1202,349.0183752
UM,1203,366.6199226
UM,1204,267.1837524
UM,1205,344.1953578
UM,1206,243.3994197
UM,1207,300.8104449
UM,1208,264.4767892
UM,1209,352.9632495
UM,1210,376.4245648
UM,1211,383.1982592
UM,1212,333.729207
UM,1213,368.3733075
UM,1214,307.7417795
UM,1215,208.3974855
UM,1216,289.7330754
UM,1217,156.9497099
UM,1218,189.0638298
UM,1219,384.2852998
UM,1220,318.5067698
UM,1221,271.9197292
UM,1222,379.9980658
UM,1223,335.9719536
UM,1224,275.05706
UM,1225,258.27853
UM,1226,311.0851064
UM,1227,138.2833656
UM,1228,416.5367505
UM,1229,293.6247582
UM,1230,326.6479691
UM,1231,381.4893617
UM,1232,311.7582205
UM,1233,224.4284333
UM,1234,227.7234043
UM,1235,303.0812379
UM,1236,226.672147
UM,1237,308.639265
UM,1238,352.7088975
UM,1239,290.3355899
UM,1240,248.4700193
UM,1241,326.049323
UM,1242,279.6005803
UM,1243,265.7969052
UM,1244,305.7088975
UM,1245,190.6054159
UM,1246,239.7514507
UM,1247,229.0589942
UM,1248,298.7427466
UM,1249,346.926499
UM,1250,271.9864603
UM,1251,174.4564797
UM,1252,285.5860735
UM,1253,290.3713733
UM,1254,199.4806576
UM,1255,288.3404255
UM,1256,333.4806576
UM,1257,373.5580271
UM,1258,213.0551257
UM,1259,425.1334623
UM,1260,403.106383
UM,1261,371.5860735
UM,1262,351.4071567
UM,1263,378.0377176
UM,1264,271.7911025
UM,1265,389.0831721
UM,1266,267.1731141
UM,1267,371.5618956
UM,1268,430.1218569
UM,1269,468.8791103
UM,1270,313.0348162
UM,1271,400.9729207
UM,1272,408.9245648
UM,1273,265.0241779
UM,1274,225.7166344
UM,1275,483.4912959
UM,1276,238.1199226
UM,1277,298.1663443
UM,1278,220.5174081
UM,1279,207.5793037
UM,1280,210.8820116
UM,1281,262.0116054
UM,1282,253.5309478
UM,1283,181.8007737
UM,1284,271.0309478
UM,1285,166.2678917
UM,1286,190.7446809
UM,1287,233.9874275
UM,1288,232.9003868
UM,1289,276.9071567
UM,1290,401.0889749
UM,1291,264.6334623
UM,1292,289.7088975
UM,1293,273.8336557
UM,1294,240.0686654
UM,1295,184.2234043
UM,1296,336.770793
UM,1297,279.0599613
UM,1298,468.6702128
UM,1299,240.2514507
UM,1300,339.4294004
