region,year,mfn
MEY,1000,0.595744681
MEY,1001,0.060928433
MEY,1002,0.374274662
MEY,1003,0.579303675
MEY,1004,0.299806576
MEY,1005,0.034816248
MEY,1006,0.762088975
MEY,1007,0.760154739
MEY,1008,0.081237911
MEY,1009,0.332688588
MEY,1010,0.422630561
MEY,1011,0.384912959
MEY,1012,0.483558994
MEY,1013,0.366537718
MEY,1014,0.298839458
MEY,1015,0.759187621
MEY,1016,0.996131528
MEY,1017,0.948742747
MEY,1018,0.82688588
MEY,1019,0.607350097
MEY,1020,1
MEY,1021,0.685686654
MEY,1022,0.402321083
MEY,1023,0.755319149
MEY,1024,0.810444874
MEY,1025,0.465183752
MEY,1026,0.585106383
MEY,1027,0.66827853
MEY,1028,0.847195358
MEY,1029,0.709864603
MEY,1030,0.311411992
MEY,1031,0.042553191
MEY,1032,0.505802708
MEY,1033,0.508704062
MEY,1034,0.574468085
MEY,1035,0.008704062
MEY,1036,0.064796905
MEY,1037,0.287234043
MEY,1038,0.107350097
MEY,1039,0.352998066
MEY,1040,0.547388781
MEY,1041,0.316247582
MEY,1042,0.725338491
MEY,1043,0.00967118
MEY,1044,0.20212766
MEY,1045,0.481624758
MEY,1046,0.03868472
MEY,1047,0.688588008
MEY,1048,0.077369439
MEY,1049,0.441005803
MEY,1050,0.770793037
MEY,1051,0.768858801
MEY,1052,0.999032882
MEY,1053,0.998065764
MEY,1054,0.997098646
MEY,1055,0.988394584
MEY,1056,0.810444874
MEY,1057,0.539651838
MEY,1058,0.940038685
MEY,1059,0.718568665
MEY,1060,0.998065764
MEY,1061,0.978723404
MEY,1062,0.833655706
MEY,1063,0.994197292
MEY,1064,0.979690522
MEY,1065,0.993230174
MEY,1066,0.984526112
MEY,1067,0.013539652
MEY,1068,0.027079304
MEY,1069,0.704061896
MEY,1070,0.467117988
MEY,1071,0.782398453
MEY,1072,0.80754352
MEY,1073,0.500967118
MEY,1074,0.540618956
MEY,1075,0.422630561
MEY,1076,0.99516441
MEY,1077,0.767891683
MEY,1078,0.962282398
MEY,1079,1
MEY,1080,0.937137331
MEY,1081,0.829787234
MEY,1082,1
MEY,1083,0.617988395
MEY,1084,0.661508704
MEY,1085,0.299806576
MEY,1086,0.597678917
MEY,1087,0.623791103
MEY,1088,0.712765957
MEY,1089,0.526112186
MEY,1090,0.100580271
MEY,1091,0.026112186
MEY,1092,0.367504836
MEY,1093,0.471953578
MEY,1094,0.000967118
MEY,1095,0.481624758
MEY,1096,0.733075435
MEY,1097,0.543520309
MEY,1098,0.029980658
MEY,1099,0.052224371
MEY,1100,0.284332689
MEY,1101,0.993230174
MEY,1102,0.827852998
MEY,1103,0.492263056
MEY,1104,0.610251451
MEY,1105,0.732108317
MEY,1106,0.067698259
MEY,1107,0.376208897
MEY,1108,0.294970986
MEY,1109,0.520309478
MEY,1110,0.560928433
MEY,1111,0.108317215
MEY,1112,0.624758221
MEY,1113,0.325918762
MEY,1114,0.730174081
MEY,1115,0.99032882
MEY,1116,0.971953578
MEY,1117,0.98549323
MEY,1118,0.51934236
MEY,1119,0.513539652
MEY,1120,0.945841393
MEY,1121,0.231141199
MEY,1122,0.979690522
MEY,1123,0.879110251
MEY,1124,0.976789168
MEY,1125,0.599613153
MEY,1126,0.006769826
MEY,1127,0.500967118
MEY,1128,0.993230174
MEY,1129,0.992263056
MEY,1130,0.484526112
MEY,1131,0.992263056
MEY,1132,0.007736944
MEY,1133,0.045454545
MEY,1134,0.240812379
MEY,1135,0.220502901
MEY,1136,0.255319149
MEY,1137,0.240812379
MEY,1138,0.025145068
MEY,1139,0.097678917
MEY,1140,0.112185687
MEY,1141,0.863636364
MEY,1142,0.288201161
MEY,1143,0.238878143
MEY,1144,0.255319149
MEY,1145,0.771760155
MEY,1146,0.047388781
MEY,1147,0.20212766
MEY,1148,0.215667311
MEY,1149,0.367504836
MEY,1150,0.045454545
MEY,1151,0.176982592
MEY,1152,0.656673114
MEY,1153,0.421663443
MEY,1154,0.010638298
MEY,1155,0.941005803
MEY,1156,0.011605416
MEY,1157,0.467117988
MEY,1158,0.048355899
MEY,1159,0.893617021
MEY,1160,0.783365571
MEY,1161,0.242746615
MEY,1162,0.62959381
MEY,1163,0.997098646
MEY,1164,0.676015474
MEY,1165,0.8172147
MEY,1166,0.081237911
MEY,1167,0.783365571
MEY,1168,0.463249516
MEY,1169,0.271760155
MEY,1170,0.662475822
MEY,1171,0.958413926
MEY,1172,0.260154739
MEY,1173,0.962282398
MEY,1174,0.222437137
MEY,1175,0.546421663
MEY,1176,0.681818182
MEY,1177,0.35589942
MEY,1178,1
MEY,1179,0.50967118
MEY,1180,0.737911025
MEY,1181,0.384912959
MEY,1182,0.096711799
MEY,1183,0.704061896
MEY,1184,0.957446809
MEY,1185,0.400386847
MEY,1186,0.041586074
MEY,1187,0.52901354
MEY,1188,0.421663443
MEY,1189,0.209864603
MEY,1190,0.655705996
MEY,1191,0.98549323
MEY,1192,0.756286267
MEY,1193,0.536750484
MEY,1194,0.678916828
MEY,1195,0.764023211
MEY,1196,0.432301741
MEY,1197,0.971953578
MEY,1198,0.850096712
MEY,1199,0.233075435
MEY,1200,0.493230174
MEY,1201,0.733075435
MEY,1202,0.654738878
MEY,1203,0.767891683
MEY,1204,0.225338491
MEY,1205,0.666344294
MEY,1206,0.174081238
MEY,1207,0.408123791
MEY,1208,0.309477756
MEY,1209,0.672147002
MEY,1210,0.816247582
MEY,1211,0.895551257
MEY,1212,0.66827853
MEY,1213,0.80270793
MEY,1214,0.483558994
MEY,1215,0.047388781
MEY,1216,0.416827853
MEY,1217,0.000967118
MEY,1218,0.027079304
MEY,1219,0.871373308
MEY,1220,0.562862669
MEY,1221,0.271760155
MEY,1222,0.866537718
MEY,1223,0.669245648
MEY,1224,0.339458414
MEY,1225,0.180851064
MEY,1226,0.567698259
MEY,1227,0.003868472
MEY,1228,0.964216634
MEY,1229,0.411025145
MEY,1230,0.632495164
MEY,1231,0.824951644
MEY,1232,0.568665377
MEY,1233,0.055125725
MEY,1234,0.107350097
MEY,1235,0.49032882
MEY,1236,0.110251451
MEY,1237,0.506769826
MEY,1238,0.693423598
MEY,1239,0.384912959
MEY,1240,0.128626692
MEY,1241,0.628626692
MEY,1242,0.279497099
MEY,1243,0.201160542
MEY,1244,0.476789168
MEY,1245,0.018375242
MEY,1246,0.113152805
MEY,1247,0.081237911
MEY,1248,0.476789168
MEY,1249,0.765957447
MEY,1250,0.273694391
MEY,1251,0.002901354
MEY,1252,0.381044487
MEY,1253,0.364603482
MEY,1254,0.034816248
MEY,1255,0.389748549
MEY,1256,0.67794971
MEY,1257,0.844294004
MEY,1258,0.054158607
MEY,1259,0.998065764
MEY,1260,0.998065764
MEY,1261,0.800773694
MEY,1262,0.765957447
MEY,1263,0.909090909
MEY,1264,0.259187621
MEY,1265,0.916827853
MEY,1266,0.205029014
MEY,1267,0.842359768
MEY,1268,0.99516441
MEY,1269,1
MEY,1270,0.601547389
MEY,1271,0.998065764
MEY,1272,0.999032882
MEY,1273,0.313346228
MEY,1274,0.090909091
MEY,1275,0.996131528
MEY,1276,0.075435203
MEY,1277,0.437137331
MEY,1278,0.085106383
MEY,1279,0.058994197
MEY,1280,0.074468085
MEY,1281,0.231141199
MEY,1282,0.162475822
MEY,1283,0.015473888
MEY,1284,0.276595745
MEY,1285,0.023210832
MEY,1286,0.039651838
MEY,1287,0.107350097
MEY,1288,0.070599613
MEY,1289,0.275628627
MEY,1290,0.986460348
MEY,1291,0.286266925
MEY,1292,0.393617021
MEY,1293,0.246615087
MEY,1294,0.120889749
MEY,1295,0.010638298
MEY,1296,0.6827853
MEY,1297,0.36073501
MEY,1298,1
MEY,1299,0.087040619
MEY,1300,0.646034816
