region,year,mfn
PP,1150,0.236211699
PP,1151,0.581058496
PP,1152,0.720891365
PP,1153,0.722005571
PP,1154,0.171587744
PP,1155,0.686350975
PP,1156,0.230640669
PP,1157,0.535376045
PP,1158,0.287465181
PP,1159,0.637883008
PP,1160,0.591086351
PP,1161,0.402228412
PP,1162,0.786072423
PP,1163,0.708077994
PP,1164,0.730362117
PP,1165,0.661281337
PP,1166,0.260724234
PP,1167,0.66908078
PP,1168,0.527576602
PP,1169,0.318662953
PP,1170,0.77270195
PP,1171,0.805571031
PP,1172,0.277437326
PP,1173,0.740947075
PP,1174,0.272980501
PP,1175,0.393871866
PP,1176,0.636211699
PP,1177,0.248467967
PP,1178,0.770473538
PP,1179,0.534818942
PP,1180,0.764345404
PP,1181,0.398885794
PP,1182,0.31810585
PP,1183,0.553760446
PP,1184,0.608356546
PP,1185,0.525348189
PP,1186,0.127019499
PP,1187,0.470194986
PP,1188,0.504178273
PP,1189,0.368802228
PP,1190,0.676880223
PP,1191,0.732590529
PP,1192,0.720891365
PP,1193,0.448467967
PP,1194,0.749860724
PP,1195,0.608913649
PP,1196,0.753203343
PP,1197,0.668523677
PP,1198,0.759331476
PP,1199,0.647910864
PP,1200,0.561002786
PP,1201,0.788300836
PP,1202,0.636211699
PP,1203,0.696935933
PP,1204,0.264066852
PP,1205,0.588857939
PP,1206,0.355988858
PP,1207,0.64178273
PP,1208,0.510306407
PP,1209,0.598885794
PP,1210,0.674651811
PP,1211,0.849582173
PP,1212,0.780501393
PP,1213,0.837325905
PP,1214,0.509749304
PP,1215,0.304735376
PP,1216,0.597771588
PP,1217,0.259610028
PP,1218,0.316991643
PP,1219,0.638997214
PP,1220,0.456267409
PP,1221,0.242896936
PP,1222,0.55097493
PP,1223,0.567130919
PP,1224,0.382729805
PP,1225,0.255710306
PP,1226,0.292479109
PP,1227,0.223398329
PP,1228,0.647910864
PP,1229,0.404456825
PP,1230,0.671866295
PP,1231,0.622284123
PP,1232,0.422284123
PP,1233,0.428969359
PP,1234,0.163788301
PP,1235,0.490807799
PP,1236,0.153760446
PP,1237,0.608913649
PP,1238,0.701392758
PP,1239,0.675766017
PP,1240,0.391643454
PP,1241,0.636211699
PP,1242,0.672423398
PP,1243,0.655153203
PP,1244,0.663509749
PP,1245,0.387743733
PP,1246,0.539275766
PP,1247,0.485793872
PP,1248,0.461281337
PP,1249,0.638997214
PP,1250,0.364902507
PP,1251,0.056824513
PP,1252,0.183286908
PP,1253,0.548189415
PP,1254,0.031754875
PP,1255,0.607799443
PP,1256,0.671866295
PP,1257,0.646239554
PP,1258,0.114206128
PP,1259,0.745961003
PP,1260,0.713091922
PP,1261,0.588857939
PP,1262,0.702506964
PP,1263,0.779387187
PP,1264,0.735376045
PP,1265,0.698607242
PP,1266,0.536490251
PP,1267,0.648467967
PP,1268,0.712534819
PP,1269,0.727019499
PP,1270,0.662952646
PP,1271,0.699721448
PP,1272,0.757103064
PP,1273,0.278551532
PP,1274,0.41448468
PP,1275,0.771587744
PP,1276,0.306963788
PP,1277,0.68189415
PP,1278,0.201114206
PP,1279,0.272980501
PP,1280,0.140389972
PP,1281,0.182172702
PP,1282,0.522562674
PP,1283,0.210584958
PP,1284,0.535376045
PP,1285,0.3454039
PP,1286,0.24735376
PP,1287,0.513649025
PP,1288,0.486350975
PP,1289,0.620612813
PP,1290,0.604456825
PP,1291,0.310306407
PP,1292,0.506963788
PP,1293,0.622841226
PP,1294,0.4545961
PP,1295,0.376044568
PP,1296,0.755431755
PP,1297,0.386072423
PP,1298,0.754317549
PP,1299,0.586629526
PP,1300,0.735376045
PP,1301,0.652924791
PP,1302,0.707520891
PP,1303,0.540389972
PP,1304,0.481337047
PP,1305,0.64902507
PP,1306,0.633426184
PP,1307,0.475766017
PP,1308,0.60724234
PP,1309,0.825626741
PP,1310,0.774373259
PP,1311,0.774930362
PP,1312,0.520891365
PP,1313,0.826183844
PP,1314,0.795543175
PP,1315,0.617827298
PP,1316,0.065181058
PP,1317,0.75821727
PP,1318,0.6545961
PP,1319,0.840668524
PP,1320,0.798885794
PP,1321,0.75097493
PP,1322,0.734818942
PP,1323,0.618384401
PP,1324,0.625069638
PP,1325,0.830640669
PP,1326,0.798328691
PP,1327,0.789415042
PP,1328,0.624512535
PP,1329,0.690250696
PP,1330,0.496935933
PP,1331,0.744846797
PP,1332,0.796100279
PP,1333,0.748746518
PP,1334,0.622841226
PP,1335,0.509749304
PP,1336,0.61281337
PP,1337,0.742061281
