region,year,mfn
SU,1000,0.112755651
SU,1001,0.024219591
SU,1002,0.05348493
SU,1003,0.075753498
SU,1004,0.058665231
SU,1005,0.000672766
SU,1006,0.140137244
SU,1007,0.130180301
SU,1008,0.023008611
SU,1009,0.114639397
SU,1010,0.06128902
SU,1011,0.060952637
SU,1012,0.003969322
SU,1013,0.076022605
SU,1014,0.005180301
SU,1015,0.200955328
SU,1016,0.335777718
SU,1017,0.275296017
SU,1018,0.165433262
SU,1019,0.119146932
SU,1020,0.513589882
SU,1021,0.042855221
SU,1022,0.024354144
SU,1023,0.113159311
SU,1024,0.201358988
SU,1025,0.022268568
SU,1026,0.129507535
SU,1027,0.118675996
SU,1028,0.193420344
SU,1029,0.131794941
SU,1030,0.021057589
SU,1031,0.001951023
SU,1032,0.058261572
SU,1033,0.05368676
SU,1034,0.107844456
SU,1035,0.000538213
SU,1036,0.002489236
SU,1037,0.010091496
SU,1038,0.004776642
SU,1039,0.013589882
SU,1040,0.107911733
SU,1041,0.034243811
SU,1042,0.153188913
SU,1043,0.00060549
SU,1044,0.019981163
SU,1045,0.077233584
SU,1046,0.001143703
SU,1047,0.119617869
SU,1048,0.005449408
SU,1049,0.064585576
SU,1050,0.18709634
SU,1051,0.274623251
SU,1052,0.915500538
SU,1053,0.468245425
SU,1054,0.557992465
SU,1055,0.266011841
SU,1056,0.189652853
SU,1057,0.050457481
SU,1058,0.277919806
SU,1059,0.118205059
SU,1060,0.411127557
SU,1061,0.539087729
SU,1062,0.249529064
SU,1063,0.583355759
SU,1064,0.411733046
SU,1065,0.873856297
SU,1066,0.368675996
SU,1067,0.000874596
SU,1068,0.000874596
SU,1069,0.107709903
SU,1070,0.06229817
SU,1071,0.184539828
SU,1072,0.252421959
SU,1073,0.093783638
SU,1074,0.069160388
SU,1075,0.05348493
SU,1076,0.505718515
SU,1077,0.211114101
SU,1078,0.350914962
SU,1079,0.865244887
SU,1080,0.306646932
SU,1081,0.372308934
SU,1082,0.93689451
SU,1083,0.147739505
SU,1084,0.173775565
SU,1085,0.030745425
SU,1086,0.160387513
SU,1087,0.201964478
SU,1088,0.188980086
SU,1089,0.115917653
SU,1090,0.013926265
SU,1091,0.001816469
SU,1092,0.053754037
SU,1093,0.028121636
SU,1094,0.000470936
SU,1095,0.097887513
SU,1096,0.099031216
SU,1097,0.108719053
SU,1098,0.002421959
SU,1099,0.004978471
SU,1100,0.027112487
SU,1101,0.218716362
SU,1102,0.155678149
SU,1103,0.038414962
SU,1104,0.105557051
SU,1105,0.159176534
SU,1106,0.024152314
SU,1107,0.07131324
SU,1108,0.057454252
SU,1109,0.108719053
SU,1110,0.126278256
SU,1111,0.017962863
SU,1112,0.15944564
SU,1113,0.052341227
SU,1114,0.158705597
SU,1115,0.284378364
SU,1116,0.434876211
SU,1117,0.524488698
SU,1118,0.096272874
SU,1119,0.070169537
SU,1120,0.367666846
SU,1121,0.007669537
SU,1122,0.369483315
SU,1123,0.163213132
SU,1124,0.225376749
SU,1125,0.125941873
SU,1126,0.00040366
SU,1127,0.05227395
SU,1128,0.339881593
SU,1129,0.371905274
SU,1130,0.0184338
SU,1131,0.308059742
SU,1132,0.000134553
SU,1133,0.001143703
SU,1134,0.018702906
SU,1135,0.021259419
SU,1136,0.04346071
SU,1137,0.026305167
SU,1138,0.001749193
SU,1139,0.027112487
SU,1140,0.012513455
SU,1141,0.237284715
SU,1142,0.04568084
SU,1143,0.074340689
SU,1144,0.07010226
SU,1145,0.324677072
SU,1146,0.006458558
SU,1147,0.023546825
SU,1148,0.00901507
SU,1149,0.033840151
SU,1150,0.002421959
SU,1151,0.024690527
SU,1152,0.058732508
SU,1153,0.048371905
SU,1154,0.000672766
SU,1155,0.159311087
SU,1156,0.001278256
SU,1157,0.0348493
SU,1158,0.001345533
SU,1159,0.173304629
SU,1160,0.084634015
SU,1161,0.02623789
SU,1162,0.036733046
SU,1163,0.487957481
SU,1164,0.079251884
SU,1165,0.276305167
SU,1166,0.009149623
SU,1167,0.179830463
SU,1168,0.062769107
SU,1169,0.033100108
SU,1170,0.125538213
SU,1171,0.330866523
SU,1172,0.017357374
SU,1173,0.303417653
SU,1174,0.00962056
SU,1175,0.050524758
SU,1176,0.145452099
SU,1177,0.041778794
SU,1178,0.503969322
SU,1179,0.075215285
SU,1180,0.164491389
SU,1181,0.076493541
SU,1182,0.013320775
SU,1183,0.136638859
SU,1184,0.36719591
SU,1185,0.060212594
SU,1186,0.002825619
SU,1187,0.142155544
SU,1188,0.082884822
SU,1189,0.046891819
SU,1190,0.168057051
SU,1191,0.374461787
SU,1192,0.232709903
SU,1193,0.055166846
SU,1194,0.125269107
SU,1195,0.18850915
SU,1196,0.058597955
SU,1197,0.446986006
SU,1198,0.203915501
SU,1199,0.029736276
SU,1200,0.201022605
SU,1201,0.442276642
SU,1202,0.254238428
SU,1203,0.383073197
SU,1204,0.096878364
SU,1205,0.225982239
SU,1206,0.042384284
SU,1207,0.120627018
SU,1208,0.01681916
SU,1209,0.229144241
SU,1210,0.301870291
SU,1211,0.307521529
SU,1212,0.1618676
SU,1213,0.190258342
SU,1214,0.126480086
SU,1215,0.006996771
SU,1216,0.104749731
SU,1217,6.72766E-05
SU,1218,0.00121098
SU,1219,0.311423574
SU,1220,0.112688375
SU,1221,0.04507535
SU,1222,0.234593649
SU,1223,0.141550054
SU,1224,0.028794403
SU,1225,0.019375673
SU,1226,0.106027987
SU,1227,0.00060549
SU,1228,0.529130786
SU,1229,0.071986006
SU,1230,0.19631324
SU,1231,0.344590958
SU,1232,0.167115178
SU,1233,0.005718515
SU,1234,0.003431109
SU,1235,0.051466631
SU,1236,0.004103875
SU,1237,0.061019914
SU,1238,0.222012917
SU,1239,0.068958558
SU,1240,0.013858988
SU,1241,0.207615716
SU,1242,0.093043595
SU,1243,0.042047901
SU,1244,0.106498924
SU,1245,0.00060549
SU,1246,0.013993541
SU,1247,0.009149623
SU,1248,0.037742196
SU,1249,0.178955867
SU,1250,0.024354144
SU,1251,0.000134553
SU,1252,0.02603606
SU,1253,0.085374058
SU,1254,0.000538213
SU,1255,0.033436491
SU,1256,0.149555974
SU,1257,0.244416039
SU,1258,0.000134553
SU,1259,0.495290635
SU,1260,0.371703445
SU,1261,0.211450484
SU,1262,0.18709634
SU,1263,0.259889666
SU,1264,0.016415501
SU,1265,0.328310011
SU,1266,0.069765877
SU,1267,0.342505382
SU,1268,0.658571044
SU,1269,0.586181378
SU,1270,0.07931916
SU,1271,0.423977395
SU,1272,0.371837998
SU,1273,0.011437029
SU,1274,0.007534984
SU,1275,0.608786329
SU,1276,0.009553283
SU,1277,0.102731432
SU,1278,0.003363832
SU,1279,0.009755113
SU,1280,0.011100646
SU,1281,0.021595802
SU,1282,0.040702368
SU,1283,0.002825619
SU,1284,0.049246502
SU,1285,0.001883746
SU,1286,0.006794941
SU,1287,0.017357374
SU,1288,0.006458558
SU,1289,0.049986545
SU,1290,0.396326695
SU,1291,0.046959096
SU,1292,0.03545479
SU,1293,0.065998385
SU,1294,0.019106566
SU,1295,0.003296555
SU,1296,0.135293326
SU,1297,0.046689989
SU,1298,0.61719591
SU,1299,0.007938644
SU,1300,0.190392896
