region,year,mfn
TB,725,0.5
TB,726,0.26974359
TB,727,0.816923077
TB,728,0.968717949
TB,729,0.768717949
TB,730,0.99025641
TB,731,0.894871795
TB,732,0.955384615
TB,733,0.975897436
TB,734,0.331794872
TB,735,0.292307692
TB,736,0.028205128
TB,737,0.714358974
TB,738,0
TB,739,0.1
TB,740,0.170769231
TB,741,0.022564103
TB,742,0.001025641
TB,743,0.003589744
TB,744,0.011282051
TB,745,0.101538462
TB,746,0.040512821
TB,747,0.05025641
TB,748,0
TB,749,0.505128205
TB,750,0.142564103
TB,751,0.113333333
TB,752,0.958974359
TB,753,0.734871795
TB,754,0.508205128
TB,755,0.682051282
TB,756,0.173333333
TB,757,0.113333333
TB,758,0.533333333
TB,759,0.245641026
TB,760,0
TB,761,0.973333333
TB,762,0.937948718
TB,763,0.983076923
TB,764,0.236410256
TB,765,0.544102564
TB,766,0.902051282
TB,767,0.609230769
TB,768,0.981538462
TB,769,0.083076923
TB,770,0.119487179
TB,771,0.832820513
TB,772,0.955897436
TB,773,0.798974359
TB,774,0
TB,775,0.014871795
TB,776,0.955384615
TB,777,0.946666667
TB,778,0.548205128
TB,779,0.062564103
TB,780,0.93025641
TB,781,0.952820513
TB,782,0
TB,783,0.582564103
TB,784,0.904615385
TB,785,0.614871795
TB,786,0.203589744
TB,787,0.965128205
TB,788,0.701025641
TB,789,0.8
TB,790,0.716410256
TB,791,0.66
TB,792,0.941538462
TB,793,0.662051282
TB,794,0.871794872
TB,795,0.364102564
TB,796,0.633846154
TB,797,0.14
TB,798,0.971794872
TB,799,0.975384615
TB,800,0.984102564
TB,801,0.978461538
TB,802,0.984102564
TB,803,0.801025641
TB,804,0.982051282
TB,805,0.791282051
TB,806,0.956410256
TB,807,0.198461538
TB,808,0.836923077
TB,809,0
TB,810,0.891282051
TB,811,0.274871795
TB,812,0.635897436
TB,813,0.687692308
TB,814,0.025128205
TB,815,0.64974359
TB,816,0.16974359
TB,817,0.171794872
TB,818,0.015384615
TB,819,0.307179487
TB,820,0.834358974
TB,821,0.984615385
TB,822,0.948717949
TB,823,0.013333333
TB,824,0.045128205
TB,825,0.163076923
TB,826,0.565128205
TB,827,0.973333333
TB,828,0.756923077
TB,829,0.012820513
TB,830,0.903076923
TB,831,0.972307692
TB,832,0.766153846
TB,833,0.533846154
TB,834,0.788205128
TB,835,0.775384615
TB,836,0.688717949
TB,837,0.018974359
TB,838,0.669230769
TB,839,0.949230769
TB,840,0.077435897
TB,841,0.991794872
TB,842,0.943076923
TB,843,0.996923077
TB,844,0.102564103
TB,845,0.975384615
TB,846,0.035384615
TB,847,0.036923077
TB,848,0.891282051
TB,849,0.471794872
TB,850,0.187179487
TB,851,0.576410256
TB,852,0.823076923
TB,853,0.383076923
TB,854,0.726153846
TB,855,0.744615385
TB,856,0.627179487
TB,857,0.291282051
TB,858,0.915897436
TB,859,0.621025641
TB,860,0.966666667
TB,861,0.65025641
TB,862,0.759487179
TB,863,0.610769231
TB,864,0.911794872
TB,865,0.893333333
TB,866,0.956923077
TB,867,0.054358974
TB,868,0.265128205
TB,869,0.831282051
TB,870,0.019487179
TB,871,0.801538462
TB,872,0.494871795
TB,873,0.32
TB,874,0.473333333
TB,875,0.221538462
TB,876,0.96974359
TB,877,0.336923077
TB,878,0.097435897
TB,879,0.010769231
TB,880,0.769230769
TB,881,0.517948718
TB,882,0.398974359
TB,883,0.520512821
TB,884,0.003589744
TB,885,0.10974359
TB,886,0.605128205
TB,887,0.732307692
TB,888,0.153333333
TB,889,0.723076923
TB,890,0.919487179
TB,891,0.233333333
TB,892,0.346666667
TB,893,0.911282051
TB,894,0.408205128
TB,895,0.307179487
TB,896,0.676923077
TB,897,0.620512821
TB,898,0.867692308
TB,899,0.962051282
TB,900,0.213846154
TB,901,0.013333333
TB,902,0.915384615
TB,903,0.351794872
TB,904,0.630769231
TB,905,0.846153846
TB,906,0.002051282
TB,907,0.003589744
TB,908,0.926153846
TB,909,0.1
TB,910,0.016410256
TB,911,0.078461538
TB,912,0.053846154
TB,913,0.82974359
TB,914,0.038974359
TB,915,0.04
TB,916,0.097435897
TB,917,0.752820513
TB,918,0.812820513
TB,919,0.957435897
TB,920,0.787179487
TB,921,0.654358974
TB,922,0.006666667
TB,923,0.004615385
TB,924,0.078974359
TB,925,0.822564103
TB,926,0.478974359
TB,927,0.386153846
TB,928,0.988205128
TB,929,0.986666667
TB,930,0.099487179
TB,931,0.477948718
TB,932,0.920512821
TB,933,0.78
TB,934,0.142564103
TB,935,0.104102564
TB,936,0.287692308
TB,937,0.020512821
TB,938,0.768717949
TB,939,0.023589744
TB,940,0.629230769
TB,941,0.571794872
TB,942,0.812820513
TB,943,0.82
TB,944,0.909230769
TB,945,0.842051282
TB,946,0.976410256
TB,947,0.981025641
TB,948,0.732820513
TB,949,0.990769231
TB,950,0.293333333
TB,951,0.016410256
TB,952,0.469230769
TB,953,0.321025641
TB,954,0.011794872
TB,955,0.883076923
TB,956,0.284615385
TB,957,0.421538462
TB,958,0.147692308
TB,959,0.877435897
TB,960,0.994358974
TB,961,0.952307692
TB,962,0.981025641
TB,963,0.993333333
TB,964,0.835384615
TB,965,0.075384615
TB,966,0.984615385
TB,967,0.97025641
TB,968,0.224102564
TB,969,0.073333333
TB,970,0.544615385
TB,971,0.994871795
TB,972,0
TB,973,0.991794872
TB,974,0.718461538
TB,975,0.005641026
TB,976,0.087179487
TB,977,0.587179487
TB,978,0.014871795
TB,979,0.98974359
TB,980,0
TB,981,0
TB,982,0.793846154
TB,983,0.05025641
TB,984,0.038461538
TB,985,0.057435897
TB,986,0.687692308
TB,987,0.98974359
TB,988,0.958461538
TB,989,0.82
TB,990,0.105128205
TB,991,0.001025641
TB,992,0.015384615
TB,993,0
TB,994,0.838461538
TB,995,0.924102564
TB,996,0.333333333
TB,997,0.378461538
TB,998,0.933846154
TB,999,0
TB,1000,0.883076923
TB,1001,0.183589744
TB,1002,0.437948718
