region,year,mfn
UM,1000,0.595744681
UM,1001,0.060928433
UM,1002,0.374274662
UM,1003,0.579303675
UM,1004,0.299806576
UM,1005,0.034816248
UM,1006,0.762088975
UM,1007,0.760154739
UM,1008,0.081237911
UM,1009,0.332688588
UM,1010,0.422630561
UM,1011,0.384912959
UM,1012,0.483558994
UM,1013,0.366537718
UM,1014,0.298839458
UM,1015,0.759187621
UM,1016,0.996131528
UM,1017,0.948742747
UM,1018,0.82688588
UM,1019,0.607350097
UM,1020,1
UM,1021,0.685686654
UM,1022,0.402321083
UM,1023,0.755319149
UM,1024,0.810444874
UM,1025,0.465183752
UM,1026,0.585106383
UM,1027,0.66827853
UM,1028,0.847195358
UM,1029,0.709864603
UM,1030,0.311411992
UM,1031,0.042553191
UM,1032,0.505802708
UM,1033,0.508704062
UM,1034,0.574468085
UM,1035,0.008704062
UM,1036,0.064796905
UM,1037,0.287234043
UM,1038,0.107350097
UM,1039,0.352998066
UM,1040,0.547388781
UM,1041,0.316247582
UM,1042,0.725338491
UM,1043,0.00967118
UM,1044,0.20212766
UM,1045,0.481624758
UM,1046,0.03868472
UM,1047,0.688588008
UM,1048,0.077369439
UM,1049,0.441005803
UM,1050,0.770793037
UM,1051,0.768858801
UM,1052,0.999032882
UM,1053,0.998065764
UM,1054,0.997098646
UM,1055,0.988394584
UM,1056,0.810444874
UM,1057,0.539651838
UM,1058,0.940038685
UM,1059,0.718568665
UM,1060,0.998065764
UM,1061,0.978723404
UM,1062,0.833655706
UM,1063,0.994197292
UM,1064,0.979690522
UM,1065,0.993230174
UM,1066,0.984526112
UM,1067,0.013539652
UM,1068,0.027079304
UM,1069,0.704061896
UM,1070,0.467117988
UM,1071,0.782398453
UM,1072,0.80754352
UM,1073,0.500967118
UM,1074,0.540618956
UM,1075,0.422630561
UM,1076,0.99516441
UM,1077,0.767891683
UM,1078,0.962282398
UM,1079,1
UM,1080,0.937137331
UM,1081,0.829787234
UM,1082,1
UM,1083,0.617988395
UM,1084,0.661508704
UM,1085,0.299806576
UM,1086,0.597678917
UM,1087,0.623791103
UM,1088,0.712765957
UM,1089,0.526112186
UM,1090,0.100580271
UM,1091,0.026112186
UM,1092,0.367504836
UM,1093,0.471953578
UM,1094,0.000967118
UM,1095,0.481624758
UM,1096,0.733075435
UM,1097,0.543520309
UM,1098,0.029980658
UM,1099,0.052224371
UM,1100,0.284332689
UM,1101,0.993230174
UM,1102,0.827852998
UM,1103,0.492263056
UM,1104,0.610251451
UM,1105,0.732108317
UM,1106,0.067698259
UM,1107,0.376208897
UM,1108,0.294970986
UM,1109,0.520309478
UM,1110,0.560928433
UM,1111,0.108317215
UM,1112,0.624758221
UM,1113,0.325918762
UM,1114,0.730174081
UM,1115,0.99032882
